0ad 0.0.26_alpha
fluxbox-styles-fluxmod 20050128
fluxbox-syntax 1.5
fluxter 0.1.0
FLV-AudioExtractor 0.10.0
flvstreamer 2.1c
flycheck 32_p20230305
flycheck-clang-tidy 0.3.0_p20201116
flycheck-guile 0.5
flycheck-inline 0_pre20200808
flycheck-nimsuggest 0.8.1_p20171027
flycheck-package 0.14
fmawk 1.3
fmdrv 1.0.7
fmit 1.0.15
fms 0.3.84
fmt 0.9.0
fmtools 2.0.7
fnord 1.11
focuswriter 1.7.6
foiltex 2.1.4b
folding 2019.0524.1621
foldingathome 7.6.21
foldl 1.4.12
foldutil 3.0
foliate 2.6.4
folium 0.14.0
folks 0.15.6
folly 2023.05.01.00
foma 0.10.0_p20220612
fondu 20060102
font-adobe-100dpi 1.0.4
font-adobe-75dpi 1.0.4
font-adobe-utopia-100dpi 1.0.5
font-adobe-utopia-75dpi 1.0.5
font-adobe-utopia-type1 1.0.5
Font-AFM 1.200.0
font-alias 1.0.5
font-arabic-misc 1.0.4
font-awesome-rails 4.7.0.8
font-bh-100dpi 1.0.4
font-bh-75dpi 1.0.4
font-bh-lucidatypewriter-100dpi 1.0.4
font-bh-lucidatypewriter-75dpi 1.0.4
font-bh-ttf 1.0.4
font-bh-type1 1.0.4
font-bitstream-100dpi 1.0.4
font-bitstream-75dpi 1.0.4
font-bitstream-speedo 1.0.2
font-bitstream-type1 1.0.4
font-cronyx-cyrillic 1.0.4
font-cursor-misc 1.0.4
font-daewoo-misc 1.0.4
font-dec-misc 1.0.4
font-ibm-type1 1.0.4
font-isas-misc 1.0.4
font-jis-misc 1.0.4
font-micro-misc 1.0.4
font-misc-cyrillic 1.0.4
font-misc-ethiopic 1.0.5
font-misc-meltho 1.0.4
font-misc-misc 1.1.3
font-mutt-misc 1.0.4
font-schumacher-misc 1.1.3
font-screen-cyrillic 1.0.5
font-sony-misc 1.0.4
font-sun-misc 1.0.4
Font-TTF 1.60.0
font-util 1.4.0
font-winitzki-cyrillic 1.0.4
font-xfree86-type1 1.0.5
fontawesome 6.1.1
fontbox 2.0.27
fontconfig 2.14.2
fontforge 20230101
fonts-meta 3
fonttools 4.39.3
fonttosfnt 1.2.2
foo2zjs 20200221
foobillard 3.0a
foomatic-db 4.0.20190226
foomatic-db-engine 4.0.12
foomatic-db-ppds 4.0.20190226
foot 1.14.0
foot-terminfo 1.14.0
footnote 1.18
fop 2.8
foremost 1.5.7
forgery 0.8.1
forkbomb 1.4
forks 0.360.0
form 4.3.0
Format-Human-Bytes 0.60.0
formido 1.0.1
forms 1.17
fortify-headers 1.1
fortran 0
fortran-modes 1.07
fortune-mod 3.18.0
fortune-mod-all 5
fortune-mod-at-linux 20030120
fortune-mod-bofh-excuses 1.2
fortune-mod-chucknorris 0.1
fortune-mod-cs 1.6.9
fortune-mod-flashrider 1.10
fortune-mod-fvl 20030120
fortune-mod-it 1.99
fortune-mod-kernelcookies 9
fortune-mod-mormon 1.1.0
fortune-mod-norbert-tretkowski 20030120
fortune-mod-osfortune 1
fortune-mod-rss 20030120
fortune-mod-scriptures 1.1.0
fortune-mod-tao 1
fortune-mod-taow 1.0
fortune-mod-thomas-ogrisegg 20030120
fortune-mod-zx-error 1.0
forwardable 1.3.3
forwardable-extended 2.6.0
fossil 2.21
fotowall 1.0
fotoxx 23.32
foundation 0.0.26.1
four-in-a-row 3.38.1
fox 1.7.67
fox-wrapper 3
foxi 2021.05.27
foxtrotgps 1.2.2
fp-multiuser 0.0.2
FP16 2021.03.20
fpath 0.7.3
fpc 3.2.2
fpdns 0.10.0_pre20130404
fping 5.1
fplll 5.4.4
fpm2 0.90
fprintd 1.94.2
fprobe 1.1
fq 0.5.0
fqdn 1.5.1
fr24feed 1.0.34_p0
fracplanet 0.5.1
fragroute 1.2.6
fragview 0.1.2
frakturx 20070103
frame-icon 1.13
frameworkintegration 5.105.0
frameworks 0.3.7
fraqtive 0.4.8
frawor 0.2.3
freaklabs-boards 1.0.0
freaklabs-chibiarduino 1.0.8_p20190329
free 5.1.9
free-bangla-font 0.2
free42 3.0.19
freealut 1.1.0
freecad 0.20.2
freecell-solver 6.8.0
freeciv 3.0.1
freecol 1.0.0
freedesktop-icon-theme 0
freedict-deu-eng 1.0
freedict-eng-fra 1.0
freedict-eng-ita 1.0
freedict-eng-swe 1.0
freedict-fra-eng 1.0
freedict-ita-eng 1.0
freedink 109.6
freedink-data 1.08.20190120
freedm 0.12.1
freedm-data 0.12.1
freedoko 0.7.16
freedoom 0.12.1
freedoom-data 0.12.1
freedroid 1.2.1
freedroidrpg 1.0
freefont 20120503
freefonts 0.10
freeglut 3.4.0
freehdl 0.0.8
freeimage 3.18.0
freeipmi 1.6.10
freenet 0.7.5_p1493
freeorion 0.5
freepv 0.3.0
freeradius 3.2.2
freeradius-client 1.1.7
freerdp 2.10.0
freesolid 2.1.2
FreeSSM 1.2.5_p20210702
freesweep 1.0.2
freesynd 0.7.5
freetds 1.2.18
freetts 1.2.2
freetype 2.13.0
freetype-py 2.4.0
freeverb3 3.2.1
freewnn 1.1.1_alpha23
freewvs 0.1.3
freexl 1.0.6
freezegun 1.2.2
FreezeThaw 0.500.100
frei0r-plugins 1.8.0
frescobaldi 3.3.0
fribidi 1.0.12
fricas 1.3.8
fritzbox_smarthome_exporter 0.0.8
fritzconnection 1.12.0
fritzing 0.9.4
frobby 0.9.0
frobtads 2.0
frogr 1.7
Frontier-RPC 0.07_beta4
frotz 2.53
frox 0.7.18
frozen-bubble 2.2.1_beta1
Frozen-Flask 0.18
frozendict 2.3.8
frozenlist 1.3.3
frp 0.45.0
frr 8.5
fruit 2.1
fs 2.4.16
fs-fonts 0.1_alpha3
fs-uae 3.1.66
fs-uae-launcher 3.1.68
fsarchiver 0.8.7
fscrypt 0.3.3
fsf-compat 1.24
fsharp-mode 2.0
fslsfonts 1.0.6
fslurp 2.1.4
fsniper 1.3.1
fsspec 2023.4.0
fstobdf 1.0.7
fstrm 0.6.1
fsvs 1.2.5
fswatch 1.17.1
fsync-mdc1200-decode 1.0
fte 20110708
fteqcc 2501
ftester 1.0
ftgl 2.1.3_rc5
ftjam 2.5.3_rc2
FTL 1.5.13
FTL-gog 1.6.9.25330
ftmenu 0.4.0
ftnchek 3.3.1
ftop 1.0
ftp 0.17.34.0.2.5.1
ftp 0.6
ftpbase 0.01
fts-standalone 1.2.7
fugitive 3.7
funcparserlib 1.0.1
funcy 2.0
funny-manpages 2.3
funnyboat 1.5_p11
funtools 1.4.7
funzix 1.0
furo 2023.3.27
Fuse 0.16.1
fuse 1.6.0
fuse 3.14.1
fuse-common 3.10.4
fuse-convmvfs 0.2.6
fuse-exfat 1.4.0
fuse-overlayfs 1.11
fuse-python 1.0.5
fuse-utils 1.4.3
fuse-zip 0.7.2
fuseiso 20070708
fusioninventory-agent 2.5.2
future 0.18.2
fuubar 2.5.1
fuzion 0.081
fuzz 0.6
fuzzy 0.0.5
fuzzyfinder 4.2.2
fuzzywuzzy 0.18.0
fvwm 2.7.0
fvwm_icons 1.0
fvwm_sounds 1.0
fvwm-crystal 3.7.5
fvwm-themes 0.7.0
fvwm-themes-extra 0.7.0
fvwm3 1.0.6a
fwbuilder 6.0.0_rc1
fwdl 1.2.3
fwknop 2.6.10
fwlogwatch 1.5
fwts 22.03.00
fwupd 1.8.14
fwupd-efi 1.4
FXdiv 2020.12.09
fxload 20081013
fzf 0.40.0
fzy 1.0
g-cpan 0.18.0
g-octave 0.4.1
g-sorcery 0.2.3
g15composer 3.4
g15daemon 3.0.4
g15macro 1.0.5
g15message 1.2
g15mpd 1.0.0
g15stats 3.0.3
g2reverb 0.7.1
g3data 1.5.4
g810-led 0.4.2
gaffitter 0.6.0
gajim 1.4.7
galaxis 1.10
galaxy 2.2
galaxyhack 1.74
galculator 2.1.4
galera 26.4.13
galib 2.4.7
gallery-dl 1.25.4
galleta 20040505_p1
gallium-nine-standalone 0.8
gam-server 0.1.10
gambatte-jg 0.5.1
gambit 1.0.4
gambit 4.9.4
game-device-udev-rules 20220311
game-music-emu 0.6.3
gamemode 1.7
gamepick 0.35
gamer 1.5
games 1.23
gamescope 3.12.0_beta3
gamin 0.1.10
gammastep 2.0.9
gammu 1.42.0
ganeti-os-noop 0.2
ganeti-os-simpleimage 0_p20221113
ganv 1.8.2
gapi-ocaml 0.4.3
gappa 1.4.1
gappalib-coq 1.5.3
garcon 4.19.0
garden 1.0.9
gargantuan-icon-theme 1.7
gargoyle 2019.1.1
gartoon 0.5
gartoon-redux 1.10
gasgano 2.4.8
gash 0.3.0
gasnet 1.32.0
gast 0.5.4
gatling 0.16
gauche 0.9.12
gauche-cdb 0.3.1
gauche-gl 0.6
gauche-gtk 0.6.1
gauche-kakasi 0.1
gauche-mecab 1.0.2
gauche-qdbm 0.2
gaul-devel 0.1849
gaupol 1.12
gav 0.9.0
gavl 1.4.0
gawk 5.2.1c
gazebo 11.12.0
gbase 0.5
gbdfed 1.6
gBhed 0.17
gbsplay 0.0.94
gcab 1.5
gcal 4.1
gcalc 3.1_rc1
gcc 13.1.0
gcc-apple 4.2.1_p5666
gcc-config 2.10
gccmakedep 1.0.3
gcdemu 3.2.6
gcl 2.6.14
gcompris 2.4
gcovr 6.0
gcp 0.2.1
gcr 4.1.0
gcube 0.4
gd 2.3.3
GD 2.760.0
GD-Barcode 1.150.0
GD-Graph3d 0.630.0
GD-SVG 0.330.0
gdal 3.6.4
gdb 13.1.90_p20230429
gdb-apple 1752
gdbm 1.23
gdbus-codegen 2.76.2
GDGraph 1.540.0
gdk-pixbuf 2.42.10
gdk-pixbuf-loader-webp 0.0.7
gdk-pixbuf-xlib 2.40.2
gdl 1.0.1
gdl 3.40.0
gdm 44.1
GDTextUtil 0.860.0
geant 4.11.1.0
geant-data 4.11.1.0
geant-docs 4.11.0
geant4_vmc 6.3_p1
geany 1.38
geany-plugins 1.38
geany-themes 1.22.2
Gearman 2.4.15
Gearman-Client-Async 0.940.0
Gearman-Server 1.130.1
geary 43.0
geda 1.10.2
geda-suite 20171223
gedit 44.2
gedit-plugins 44.1
geekbench 6.0.3
geekcode 1.7.3
geeqie 2.0.1
gef 2023.06
gegl 0.4.44
geiser 0.28.2
geiser-chez 0.18
geiser-chicken 0.17
geiser-gambit 0.18.1
geiser-guile 0.28.1
geiser-mit 0.15
geki2-KXL 2.0.3
geki3-KXL 1.0.3
gelemental 2.0.1
gemas 0.4
gemato 20.2
gemdropx 0.9
gemmlowp 2021.12.20
gen 1.1
general-docs 1.11
generator 0.35_p4
generic-deriving 1.14.1
generics-sop 0.5.1.1
geneweb 7.0.0_p1
genext2fs 1.5.0
genfstab 28
gengetopt 2.23
genimage 16
genindent 1.1
genius 1.0.27
genkernel 4.3.2
genlop 0.30.10
genmenu 1.1.0
genromfs 0.5.2
gens 2.15.5
genshi 0.7.7
gensink 4.1
genson 1.2.2
gentoo 0.20.7
Gentoo-App-Pram 0.200.0
gentoo-artwork 0.4.2
gentoo-artwork-livecd 2007.0
gentoo-bashcomp 20230313
gentoo-common 1
gentoo-elections 0_p20190710
gentoo-functions 0.19
gentoo-kernel 6.2.14
gentoo-kernel-bin 6.2.14
gentoo-keys 201901130136
gentoo-perl-helpers 0.4.0
Gentoo-PerlMod-Version 0.8.1
gentoo-retirement-scripts 2
gentoo-rsync-mirror 1.0
gentoo-sources 6.3.1
gentoo-syntax 10
gentoo-systemd-integration 9
gentoo-vdr-scripts 3.0_rc2
gentoo-xcursors 0.3.2
gentoo-zsh-completions 20220112
gentoo10-backgrounds 20110309
gentoolkit 0.6.1
gentoopm 0.5.0
genty 1.3.2
genutils 2.5
genymotion-bin 3.3.2
Geo-IP 1.510.0
geoclue 2.7.0
geocode-glib 3.26.4
geogebra-bin 5.0.752.0
GeographicLib 1.52
Geography-Countries 2009041301.0.0
geoip 1.6.12
GeoIP2 2.6.2
geoipupdate 4.9.0
geomview 1.9.5
geomyidae 0.34
geopy 2.3.0
GeoRuby 2.5.2
geos 3.11.2
geos-php 1.0.0_p20220909
geramik 0.27
gerbera 1.12.1
gerbv 2.7.0
gerris 20131206
gertty 1.6.0
get-ego-vendor 0.2.0
getdata 0.11.0
getdate 1.2
getdns 1.7.2
geteltorito 0.6
getmail 6.18.12
getopt 1.1.6
Getopt-ArgvFile 1.110.0
getopt-generics 0.13.0.4
Getopt-GUI-Long 0.930.0
Getopt-Long-Descriptive 0.109.0
Getopt-Mixed 1.120.0
Getopt-Tabular 0.300.0
gettext 0.21.1
gettext_i18n_rails 1.10.1
gettext-setup 0.34
gexiv2 0.14.1
gf-complete 2.0.0
gf2x 1.3.0
gfan 0.6.2
gfifteen 1.0.3
gflags 2.2.2
gforth 0.7.3
gftp 2.9.1b
ggobi 2.1.11
gh 0.18.0
ghc 9.0.2
ghc-byteorder 4.11.0.0.10
ghc-paths 0.1.0.12
ghex 44.1
ghostscript-gpl 10.01.1
ghostwriter 23.04.0
ghp-import 2.1.0
ghub 3.5.6
gi-docgen 2023.1
giac 1.9.0.29
giblib 1.2.4
gidole 2.0.2
gif2png 2.5.14
giflib 5.2.1
gifshuffle 2.0
gifsicle 1.93
gigedit 1.2.0
gigolo 0.5.2
gimmix 0.5.7.2
gimp 2.10.34
gimp-arrow-brushes 20190407
gimp-help 2.10.34
gimp-lqr 0.7.2
gimps 30.8.17
gin 2.1.2
ginac 1.8.6
ginkgo 1.4.0
girara 0.4.0
gish-demo 1.6
gist 6.0.0
gist 7.3
git 1.18.0
git 2.40.1
git-absorb 0.6.9
git-annex 10.20220624
git-big-picture 1.2.2
git-cola 4.2.1
git-credential-gopass 1.15.5
git-crypt 0.7.0
git-delete-merged-branches 7.4.0
git-delta 0.15.1
git-extras 7.0.0
git-filter-repo 2.38.0
git-flow 1.12.3
git-lfs 1.2.0
git-lfs 3.2.0
git-machete 3.17.0
git-mailz 0.14
git-mantle 0.6
git-merge-changelog 20221207
git-modes 1.4.0
git-patch-tags 0.2
git-publish 1.8.1
git-pw 2.4.0
git-repair 1.20220404
git-review 2.3.1
git-sh 1.3
git-sizer 1.5.0
git-sources 6.4_rc1
git-tools 2022.12
Git-Wrapper 0.48.0
gitchangelog 3.1.2
gitdb 4.0.10
gitea 1.19.1
gitg 41
gitgutter 20220524
github-backup-utils 3.8.0
github-cli 2.27.0
github-exporter 1.0.3
github3-py 4.0.1
gitlab-ci-linter 2.2.0
gitlab-cli 1.28.1
gitlab-runner 15.11.0
gitlog 6.0.0
gitolite 3.6.12
gitolite-gentoo 3.6.6.1
gitolite-syntax 20130306
GitPython 3.1.31
gitstats 0_pre20201124
gitter-bin 5.0.1
gitv 1.3.1
givaro 4.1.1
gjs 1.76.0
gklib 5.1.1_p20230327
gkrellaclock 0.3.4
gkrellfire 0.4.2
gkrellkam 2.0.0
gkrellm 2.3.11
gkrellm-bgchanger 0.1.11
gkrellm-bluez 0.2
gkrellm-countdown 0.1.2
gkrellm-cpupower 0.2
gkrellm-imonc 0.2
gkrellm-leds 0.8.2
gkrellm-mailwatch 2.4.3
gkrellm-plugins 2.0
gkrellm-radio 2.0.4
gkrellm-themes 0.1
gkrellm-trayicons 1.03
gkrellm-vaiobright 2.5
gkrellm-volume 2.1.13
gkrellm-xkb 1.05
gkrellmlaunch 0.5
gkrellmoon 0.6
gkrellmpc 0.1_beta10
gkrellmss 2.6
gkrellmwireless 2.0.3
gkrellshoot 0.4.4
gkrellstock 0.5.1
gkrellsun 1.0.0
gkrelltop 2.2.13
gkrellweather 2.0.8
gkwebmon 0.2.1
gl117 1.3.2
gl2ps 1.4.2
glabels 3.4.1
glade 3.40.0
glances 3.3.0
glass-tty-vt220 001.3
glassfish-persistence 1.0
glastree 1.04_p20150525
glbsp 2.24
glcdprocdriver 0.1.2
gld 1.7
gle 4.3.3
glean 1.23.0
glep63-check 11
glew 2.2.0
glfw 3.3.8
glib 2.76.2
glib-networking 2.76.0
Glib-Object-Introspection 0.49.0
glib-perl 1.329.300
glib-utils 2.76.2
glibc 2.37
glibmm 2.76.0
glightoff 1.0.0
glimmer 3.02b
glimmerhmm 3.0.1
glm 0.9.9.8
glob 0.10.2
global 6.6.4
globalid 1.1.0
glog 0.6.0
gloo 2023.01.17
gloox 1.0.24
glossaries 4.52
glpk 5.0
glpng 1.46
glslang 1.3.243
gltron 0.70
glu 9.0
glu 9.0.2
glurp 0.12.3
glusterfs 10.2
glxquake-bin 0
glyr 1.0.10
gmail-feed 1.2
gmap 2020.10.27
gmaptool 08220
gmchess 0.29.6
gmic 3.2.2
gmime 3.2.13
gmines 0.2
gmm 5.4.2
gmmlib 22.3.5
gmorgan 0.79
gmp 6.2.1
gmp-ecm 7.0.5
gmpy 2.1.5
gmqtt 0.4.1
gmrun 1.4w
gmsh 4.11.1
gmt 6.4.0
gmtp 1.3.11
gmudix 1.0
gmult 10.0
gmusicbrowser 1.1.16
gn 0.2088
gnake 0.94b
gnat-gpl 2021
gnatcoll-bindings 23.0.0
gnatcoll-core 23.0.0
gnatcoll-db 23.0.0
gnatdoc 23.0.0
gnatmem 2021
gnats 1.19
gnatsymbolize 2021
gnetman 0.0.1_pre20110124
gngb 20060309
gngeo 0.8
gnofract4d 4.3_p20221125
gnokii 0.6.31
gnomad 2.9.6
gnome 40.0
gnome-applets 3.46.0
gnome-autoar 0.4.4
gnome-backgrounds 44.0
gnome-bluetooth 42.5
gnome-boxes 44.1
gnome-browser-connector 42.1
gnome-builder 44.2
gnome-calculator 44.0
gnome-calendar 44.1
gnome-characters 44.0
gnome-chemistry-utils 0.14.17_p6
gnome-chess 43.2
gnome-clocks 44.0
gnome-color-manager 3.36.0
gnome-colors-common 5.5.1
gnome-colors-themes 5.5.1
gnome-commander 1.16.0
gnome-common 3.18.0
gnome-connections 44.1
gnome-console 44.0
gnome-contacts 44.0
gnome-control-center 44.1
gnome-core-apps 41.3
gnome-core-libs 41.3
gnome-desktop 44.0
gnome-devel-docs 40.3
gnome-dictionary 40.0
gnome-directory-thumbnailer 0.1.11
gnome-disk-utility 44.0
gnome-doc-utils 0.20.10
gnome-extra-apps 41.0
gnome-firmware 43.2
gnome-flashback 3.46.0
gnome-font-viewer 44.0
gnome-getting-started-docs 3.38.1
gnome-icon-theme-extras 3.12.0
gnome-icon-theme-symbolic 3.12.0
gnome-integration-spotify 20140907
gnome-keyring 42.1
gnome-klotski 3.38.2
gnome-latex 3.44.0
gnome-light 40.0
gnome-logs 43.0
gnome-mahjongg 3.38.3
gnome-maps 44.1
gnome-menus 3.36.0
gnome-mime-data 2.18.0
gnome-mines 40.1
gnome-music 44.0
gnome-nettool 42.0
gnome-network-displays 0.90.5
gnome-nibbles 3.38.3
gnome-online-accounts 3.48.0
gnome-panel 3.46.0
gnome-photos 44.0
gnome-power-manager 43.0
gnome-remote-desktop 44.1
gnome-robots 40.0
gnome-screenshot 41.0
gnome-session 44.0
gnome-settings-daemon 44.1
gnome-shell 44.1
gnome-shell-extension-alphabetical-grid 29.0
gnome-shell-extension-appindicator 53
gnome-shell-extension-applications-overview-tooltip 16
gnome-shell-extension-bing-wallpaper 45
gnome-shell-extension-bluetooth-quick-connect 36
gnome-shell-extension-control-blur-effect-on-lock-screen 20230408
gnome-shell-extension-dash-to-panel 56
gnome-shell-extension-desktop-icons-ng 47.0.2
gnome-shell-extension-gsconnect 55
gnome-shell-extension-pop-shell 1.2.0_p20220928
gnome-shell-extension-weather-in-the-clock 20221024
gnome-shell-extensions 44.0
gnome-shell-frippery 44.0
gnome-software 44.1
gnome-sound-recorder 42.0
gnome-sudoku 44.0
gnome-system-monitor 44.0
gnome-taquin 3.38.1
gnome-terminal 3.48.1
gnome-tetravex 3.38.2
gnome-text-editor 44.0
gnome-themes-standard 3.28
gnome-tweaks 40.10
gnome-usage 3.38.1
gnome-user-docs 44.1
gnome-user-share 43.0
gnome-video-effects 0.5.0
gnome-weather 44.0
gnome2-wnck 0.180.0
gnome2048 3.38.2
gnonlin 1.4.0
gnote 44.0
gns3-gui 2.2.38
gns3-server 2.2.38
gnu-efi 3.0.15
gnu-jaf 1.1.2
gnu-regexp 1.1.4
gnuastro 0.16
gnubg 1.07.001
gnubiff 2.2.17
gnuboy 1.0.3
gnucap 20210107
gnucash 4.13
gnucash-docs 4.13
gnuchess 6.2.9
gnuchess-book 1.02
gnuclad 0.2.4
gnucobol 3.1.2
gnuconfig 20230121
gnugo 3.9.1
gnuit 4.9.5
gnujump 1.0.8
gnulib 2022.05.26.07.24.56
gnumail 1.4.0
gnumeric 1.12.55
gnump3d 3.0
gnupg 2.4.0
gnupg 2.7.1
GnuPG-Interface 1.20.0
gnupg-pkcs11-scd 0.9.2
gnuplot 2.6.2
gnuplot 5.4.6
gnuplot-mode 0.8.1
gnuprologjava 0.2.6
gnuradio 3.10.5.1
gnurobbo 0.68
gnus 2.07
gnuserv 3.12.8
gnushogi 1.4.1
gnusim8085 1.3.7
gnustep-back 0.29.0
gnustep-back-art 0.29.0
gnustep-back-cairo 0.29.0
gnustep-back-xlib 0.29.0
gnustep-base 1.29.0
gnustep-gui 0.29.0
gnustep-make 2.9.0
gnustep-neos-theme 0.1
gnustep-silver-theme 3.1
gnustep-updater 0.3
gnut 0.4.28
gnutls 3.8.0
go 1.20.3
go-bindata 3.1.3
go-bindata-assetfs 1.0.0_p20180223
go-bootstrap 1.19.1
go-carbon 0.17.1
go-colortext 0_pre20150720
go-critic 0.6.4
go-ethereum 1.10.18
go-jira 1.0.28
go-license-detector 4.3.0
go-licenses 1.2.1
go-md2man 2.0.2
go-mode 1.6.0
go-mtpfs 1.0.0
go-perl 0.150.0
go-secbench 0.1.0
go-tools 0.1.10
go-tour 0_pre20200201
go-updater 0.2.0
goaccess 1.6.3
goawk 1.22.0
gob 2.0.20
gobi_loader 0.7
gobject-introspection 1.76.1
gobject-introspection-common 1.76.1
gocov 1.1.0
gocr 0.52
god-mode 2.18.0
goddard-backgrounds 13.0.0.3
godebug-pretty 0_p20170819
godot 4.0.2
goffice 0.10.55
gofish 1.2
gofont-mono 2.010
gogglesmm 1.2.1
gogo-protobuf 1.3.2
goland 2022.3.3
golangci-lint 1.50.1
golden-xcursors 0.8
goldrush 0.2.0
golicense 0.2.0
golly 4.2
golop 0.2.1
gom 0_pre20151110
gom 0.29.103
gom 0.4
goocanvas 3.0.0
GooCanvas2 0.60.0
GooCanvas2-CairoTypes 0.1.0
Google-Ads-AdWords-Client 5.8.2
google-api-core 2.11.0
google-api-python-client 2.86.0
google-auth 2.17.3
google-auth-httplib2 0.1.0
google-auth-oauthlib 1.0.0
google-authenticator 1.09
google-authenticator-wrappers 3
google-c-style 20140929
google-chrome 113.0.5672.63
google-chrome-beta 114.0.5735.16
google-chrome-unstable 115.0.5750.0
google-cloud-cpp 1.36.0
google-drive-ocamlfuse 0.7.30
google-i18n-address 2.5.2
google-pasta 0.2.0
google-perftools 2.10
google-protobuf 3.19.6
googleapis-common-protos 1.59.0
goomwwm 1.0.0
goosh 1.3
gopass 1.15.5
gopass-hibp 1.15.5
gopass-jsonapi 1.15.5
gopass-summon-provider 1.15.5
gopls 0.9.5
gorilla 1.4
gorm 1.3.1
gost-engine 3.0.1
gosuslugi-plugin 3.1.1.0
gottet 1.1.9
gource 0.53
goversion 1.2.0
gox 1.0.1
gozer 0.7
gp2c 0.0.12
gpa 0.10.0
gpac 2.2.0
gpart 0.3
gparted 1.5.0
gpaste 3.42.5
gpep517 13
gperf 3.1
gperiodic 3.0.3
gpg-ringmgr 1.12
gpgme 1.20.0
gpgme 2.0.22
gpgstats 0.5
gphoto2 2.5.28
gphotofs 0.5
gpicview 0.2.5
gpm 1.20.7
gpodder 3.11.1
gpp 2.27
gpr 23.0.0
gpr-unit-provider 23.0.0
gprbuild 23.0.0
gprconfig_kb 23.0.0
gpredict 2.3
gprof2dot 2022.7.29
gprolog 1.5.0
gpsbabel 1.8.0
gpscorrelate 2.0
gpsd 3.25
gpsim 0.31.0
gpsprune-bin 20.4
gptfdisk 1.0.9
gputils 1.5.2
gpx-viewer 0.4.0
gpxlab 0.7.0
gpxsee 13.0
gpyutils 0.9
gqlplus 1.16
gqradio 1.9.2
gqrx 2.15.9
gqrx-scanner 1.0.2
gr 0.72.4
gr-fosphor 0.0_p20210108
gr-ieee802154 0.0_p20210719
gr-iio 0.3_p20210726
gr-iqbal 0.38.2_p20210108
gr-osmosdr 0.2.4
gr-paint 0.0_p20220320
gr-rds 0.0_p20220804
gr-scopy 0.0_p20220602
grabc 1.1
grabcartoons 2.8.4_p20141112
grace 5.1.25_p13
gracer 0.1.5
gradle-bin 8.0.2
gradm 3.1.201903191516
grafana-bin 9.5.1
gramps 5.1.5
granatier 23.04.0
grande-KXL 0.6
granite 6.2.0
grantlee 5.3.0
grantlee-editor 23.04.0
grantleetheme 23.04.0
Graph 0.972.500
Graph-Easy 0.760.0
graph-tool 2.46
graphene 1.10.8
graphics 5.1.2
Graphics-ColorNames 3.5.0
Graphics-ColorNames-HTML 3.3.1
Graphics-ColorNames-WWW 1.140.0
Graphics-ColorObject 0.5.0
graphicsmagick 1.3.40
graphite-web 1.1.10
graphite2 1.3.14_p20210810
graphlcd-base 2.0.3
graphos 0.7
graphql 0.1.2
graphviz 0.20.1
GraphViz 2.240.0
graphviz 8.0.3
graphviz-dot-mode 0.4.20181118
grass 8.2.1
graveman 0.3.12_p5
graylog 4.2.7
grc 1.13
greedy 0.2.0
greenlet 2.0.2
greenmail 2.0.0_alpha2
greenstalk 2.0.0
greetd 0.8.0
grep 3.10_p20230430
grepcidr 2.0
grepmail 5.3111
greputils 2.8
gretl 2021d
greybird 3.22.14
grfcodec 6.0.6_p20210310
grhino 0.16.1
GridDataFormats 1.0.1
grig 0.8.1
grilo 0.3.15
grilo-plugins 0.3.16
grim 1.4.0
grimrock 20150707
grip 4.2.4
grip 4.6.1
grisbi 2.0.5
grive 0.5.2_pre20211128
groff 1.23.0_rc4
grok_exporter 1.0.0_rc5
gromacs 2023.1
GromacsWrapper 0.8.2
gromit 20041213
groonga 13.0.1
groonga-normalizer-mysql 1.1.1
groovy-emacs-modes 2.1
groundhog 1.4
Growl-GNTP 0.210.0
growpart 0.0.32
grpc 1.52.1
grpcio 1.51.0
grpcio-testing 1.51.0
grpcio-tools 1.51.0
grs 0.8
grsync 1.3.0
grub 2.06
grub-splashes 20091109
grub-xen-host 1.0
grub2-theme-preview 2.7.0
gruff 0.19.0
grun 0.9.3
grutatxt 2.200.0
grype 0.61.0
gs-elpa 0.2.2
gsa 21.4.4
gsad 21.4.4
gsasl 2.2.0
gsasl 3
gscan2pdf 2.13.2
gscanbus 0.8
gsd 2.8.1
gsettings-desktop-schemas 44.0
gshhg-gmt 2.3.7
gshhs 1.13
gshhs-data 2.2.0
gshisen 1.3.0
gsl 2.7.1
gsl-ocaml 1.24.3
gsl-shell 2.3.5
gsldap 0.0.1_pre20070219
gslist 0.8.11a
gsm 1.0.22_p1
gsmartcontrol 1.1.4
gsmc 1.1
gsoap 2.8.114
gson 2.10.1
gsound 1.0.3
gspdf 0.5
gspeakers 0.11
gspell 1.12.1
gspiceui 1.2.87
gspoof 3.2
GSSAPI 0.280.0
gssapi 1.8.2
gssdp 1.6.2
gssproxy 0.9.1
gst-plugins-a52dec 1.20.5
gst-plugins-amr 1.20.5
gst-plugins-aom 1.20.5
gst-plugins-assrender 1.20.5
gst-plugins-bad 1.20.5
gst-plugins-base 1.20.5
gst-plugins-bluez 1.20.5
gst-plugins-bs2b 1.20.5
gst-plugins-cairo 1.20.5
gst-plugins-cdio 1.20.5
gst-plugins-cdparanoia 1.20.5
gst-plugins-chromaprint 1.20.5
gst-plugins-colormanagement 1.20.5
gst-plugins-dash 1.20.5
gst-plugins-dtls 1.20.5
gst-plugins-dts 1.20.5
gst-plugins-dv 1.20.5
